time,temperature,conversion
2008.002,403.2168,0
2008.098,403.2212,1.35E-07
2008.2,403.2267,2.83E-07
2008.302,403.2321,4.37E-07
2008.398,403.2369,5.87E-07
2008.5,403.2417,7.48E-07
2008.602,403.2471,9.10E-07
2008.698,403.2521,1.06E-06
2008.8,403.2565,1.23E-06
2008.902,403.2616,1.41E-06
2008.998,403.2665,1.58E-06
2009.1,403.2719,1.77E-06
2009.202,403.2769,1.97E-06
2009.298,403.2815,2.15E-06
2009.4,403.2867,2.34E-06
2009.502,403.2916,2.54E-06
2009.598,403.2973,2.72E-06
2009.7,403.3011,2.91E-06
2009.802,403.3073,3.10E-06
2009.898,403.3117,3.28E-06
2010,403.3172,3.47E-06
2010.102,403.3224,3.67E-06
2010.198,403.3266,3.87E-06
2010.3,403.3326,4.10E-06
2010.402,403.3372,4.33E-06
2010.498,403.3418,4.55E-06
2010.6,403.3466,4.79E-06
2010.702,403.352,5.03E-06
2010.798,403.3569,5.26E-06
2010.9,403.3616,5.50E-06
2011.002,403.3672,5.74E-06
2011.098,403.3722,5.98E-06
2011.2,403.3771,6.24E-06
2011.302,403.3819,6.50E-06
2011.398,403.3874,6.75E-06
2011.5,403.3917,7.01E-06
2011.602,403.3971,7.27E-06
2011.698,403.4026,7.52E-06
2011.8,403.4071,7.78E-06
2011.902,403.4113,8.05E-06
2011.998,403.4166,8.32E-06
2012.1,403.4216,8.60E-06
2012.202,403.4267,8.89E-06
2012.298,403.432,9.17E-06
2012.4,403.4371,9.46E-06
2012.502,403.4422,9.74E-06
2012.598,403.4475,1.00E-05
2012.7,403.4525,1.03E-05
2012.802,403.4573,1.06E-05
2012.898,403.462,1.09E-05
2013,403.4668,1.12E-05
2013.102,403.4726,1.14E-05
2013.198,403.4777,1.17E-05
2013.3,403.4819,1.20E-05
2013.402,403.4871,1.23E-05
2013.498,403.4913,1.26E-05
2013.6,403.4977,1.29E-05
2013.702,403.502,1.32E-05
2013.798,403.5068,1.35E-05
2013.9,403.5117,1.38E-05
2014.002,403.5176,1.41E-05
2014.098,403.5215,1.44E-05
2014.2,403.5273,1.48E-05
2014.302,403.5316,1.51E-05
2014.398,403.5365,1.54E-05
2014.5,403.5415,1.57E-05
2014.602,403.5467,1.60E-05
2014.698,403.5518,1.63E-05
2014.8,403.5557,1.66E-05
2014.902,403.5619,1.69E-05
2014.998,403.5669,1.72E-05
2015.1,403.5722,1.75E-05
2015.202,403.576,1.78E-05
2015.298,403.5809,1.81E-05
2015.4,403.5863,1.85E-05
2015.502,403.5909,1.88E-05
2015.598,403.5973,1.91E-05
2015.7,403.6026,1.95E-05
2015.802,403.6066,1.98E-05
2015.898,403.6116,2.01E-05
2016,403.6168,2.05E-05
2016.102,403.6218,2.08E-05
2016.198,403.6269,2.12E-05
2016.3,403.6316,2.15E-05
2016.402,403.6369,2.19E-05
2016.498,403.6415,2.22E-05
2016.6,403.6467,2.26E-05
2016.702,403.6519,2.29E-05
2016.798,403.6571,2.33E-05
2016.9,403.6625,2.36E-05
2017.002,403.6668,2.40E-05
2017.098,403.6718,2.44E-05
2017.2,403.6768,2.47E-05
2017.302,403.6817,2.51E-05
2017.398,403.6865,2.55E-05
2017.5,403.6923,2.58E-05
2017.602,403.6967,2.62E-05
2017.698,403.7016,2.66E-05
2017.8,403.7071,2.70E-05
2017.902,403.7122,2.73E-05
2017.998,403.7179,2.77E-05
2018.1,403.7226,2.81E-05
2018.202,403.7279,2.85E-05
2018.298,403.7325,2.89E-05
2018.4,403.737,2.93E-05
2018.502,403.7428,2.97E-05
2018.598,403.7477,3.01E-05
2018.7,403.7524,3.05E-05
2018.802,403.7573,3.09E-05
2018.898,403.7626,3.12E-05
2019,403.7667,3.16E-05
2019.102,403.772,3.21E-05
2019.198,403.7776,3.24E-05
2019.3,403.7817,3.28E-05
2019.402,403.7876,3.32E-05
2019.498,403.792,3.36E-05
2019.6,403.7975,3.40E-05
2019.702,403.8023,3.44E-05
2019.798,403.8074,3.47E-05
2019.9,403.8117,3.51E-05
2020.002,403.8167,3.55E-05
2020.098,403.8217,3.59E-05
2020.2,403.8271,3.63E-05
2020.302,403.8318,3.67E-05
2020.398,403.8377,3.71E-05
2020.5,403.8422,3.76E-05
2020.602,403.8472,3.80E-05
2020.698,403.8521,3.84E-05
2020.8,403.8571,3.89E-05
2020.902,403.8634,3.94E-05
2020.998,403.867,3.98E-05
2021.1,403.8725,4.02E-05
2021.202,403.8769,4.07E-05
2021.298,403.8826,4.12E-05
2021.4,403.8871,4.16E-05
2021.502,403.8915,4.21E-05
2021.598,403.898,4.26E-05
2021.7,403.902,4.31E-05
2021.802,403.9079,4.36E-05
2021.898,403.9119,4.40E-05
2022,403.9172,4.45E-05
2022.102,403.9224,4.50E-05
2022.198,403.9279,4.55E-05
2022.3,403.9323,4.60E-05
2022.402,403.9376,4.65E-05
2022.498,403.9424,4.70E-05
2022.6,403.9475,4.76E-05
2022.702,403.9521,4.81E-05
2022.798,403.9572,4.86E-05
2022.9,403.9625,4.92E-05
2023.002,403.9676,4.97E-05
2023.098,403.9713,5.03E-05
2023.2,403.9771,5.08E-05
2023.302,403.9824,5.14E-05
2023.398,403.9873,5.19E-05
2023.5,403.9927,5.25E-05
2023.602,403.9969,5.30E-05
2023.698,404.0024,5.35E-05
2023.8,404.0069,5.41E-05
2023.902,404.0127,5.46E-05
2023.998,404.0168,5.51E-05
2024.1,404.0224,5.57E-05
2024.202,404.0279,5.62E-05
2024.298,404.0321,5.68E-05
2024.4,404.0373,5.73E-05
2024.502,404.0425,5.79E-05
2024.598,404.0473,5.85E-05
2024.7,404.0526,5.91E-05
2024.802,404.0578,5.97E-05
2024.898,404.0625,6.03E-05
2025,404.0664,6.09E-05
2025.102,404.0729,6.15E-05
2025.198,404.0769,6.21E-05
2025.3,404.0826,6.27E-05
2025.402,404.0866,6.33E-05
2025.498,404.0921,6.39E-05
2025.6,404.0975,6.45E-05
2025.702,404.102,6.52E-05
2025.798,404.1067,6.58E-05
2025.9,404.1119,6.64E-05
2026.002,404.1172,6.70E-05
2026.098,404.1215,6.76E-05
2026.2,404.1275,6.82E-05
2026.302,404.1325,6.88E-05
2026.398,404.137,6.94E-05
2026.5,404.1421,7.00E-05
2026.602,404.1472,7.06E-05
2026.698,404.153,7.12E-05
2026.8,404.156,7.18E-05
2026.902,404.1622,7.25E-05
2026.998,404.1671,7.31E-05
2027.1,404.1719,7.37E-05
2027.202,404.1767,7.43E-05
2027.298,404.1818,7.49E-05
2027.4,404.1875,7.56E-05
2027.502,404.1919,7.62E-05
2027.598,404.1971,7.68E-05
2027.7,404.202,7.75E-05
2027.802,404.2069,7.81E-05
2027.898,404.2125,7.87E-05
2028,404.2173,7.94E-05
2028.102,404.2221,8.00E-05
2028.198,404.2279,8.06E-05
2028.3,404.2326,8.13E-05
2028.402,404.237,8.19E-05
2028.498,404.2421,8.25E-05
2028.6,404.2474,8.32E-05
2028.702,404.2523,8.39E-05
2028.798,404.2578,8.45E-05
2028.9,404.2632,8.51E-05
2029.002,404.2677,8.58E-05
2029.098,404.2726,8.65E-05
2029.2,404.278,8.71E-05
2029.302,404.2823,8.78E-05
2029.398,404.2879,8.84E-05
2029.5,404.2925,8.91E-05
2029.602,404.2969,8.98E-05
2029.698,404.3028,9.04E-05
2029.8,404.3068,9.11E-05
2029.902,404.3131,9.18E-05
2029.998,404.3177,9.25E-05
2030.1,404.3227,9.32E-05
2030.202,404.3268,9.39E-05
2030.298,404.3324,9.45E-05
2030.4,404.3369,9.52E-05
2030.502,404.3419,9.59E-05
2030.598,404.347,9.66E-05
2030.7,404.3516,9.73E-05
2030.802,404.3566,9.80E-05
2030.898,404.3625,9.87E-05
2031,404.3664,9.94E-05
2031.102,404.3715,1.00E-04
2031.198,404.377,1.01E-04
2031.3,404.3819,1.01E-04
2031.402,404.387,1.02E-04
2031.498,404.3922,1.03E-04
2031.6,404.3973,1.03E-04
2031.702,404.4016,1.04E-04
2031.798,404.4073,1.05E-04
2031.9,404.4126,1.06E-04
2032.002,404.4174,1.06E-04
2032.098,404.4228,1.07E-04
2032.2,404.4279,1.08E-04
2032.302,404.4326,1.08E-04
2032.398,404.4372,1.09E-04
2032.5,404.443,1.10E-04
2032.602,404.4469,1.10E-04
2032.698,404.4522,1.11E-04
2032.8,404.4573,1.12E-04
2032.902,404.4621,1.13E-04
2032.998,404.4666,1.13E-04
2033.1,404.4718,1.14E-04
2033.202,404.4778,1.15E-04
2033.298,404.4828,1.15E-04
2033.4,404.4869,1.16E-04
2033.502,404.4925,1.17E-04
2033.598,404.4975,1.17E-04
2033.7,404.503,1.18E-04
2033.802,404.508,1.19E-04
2033.898,404.5123,1.19E-04
2034,404.5164,1.20E-04
2034.102,404.522,1.21E-04
2034.198,404.5279,1.22E-04
2034.3,404.5319,1.22E-04
2034.402,404.5373,1.23E-04
2034.498,404.5427,1.24E-04
2034.6,404.5463,1.25E-04
2034.702,404.5519,1.25E-04
2034.798,404.5572,1.26E-04
2034.9,404.5619,1.27E-04
2035.002,404.5672,1.28E-04
2035.098,404.5722,1.28E-04
2035.2,404.5776,1.29E-04
2035.302,404.5827,1.30E-04
2035.398,404.5879,1.30E-04
2035.5,404.5924,1.31E-04
2035.602,404.5969,1.32E-04
2035.698,404.6027,1.33E-04
2035.8,404.6082,1.33E-04
