time,temperature,conversion
722.1,410.2676,0.001577517
722.202,410.2829,0.001595326
722.298,410.298,0.001612172
722.4,410.3126,0.001630163
722.502,410.3272,0.001648243
722.598,410.343,0.001665342
722.7,410.3575,0.001683603
722.802,410.3732,0.001701963
722.898,410.3875,0.001719332
723,410.4029,0.001737876
723.102,410.4177,0.001756514
723.198,410.433,0.001774137
723.3,410.4481,0.001792951
723.402,410.4629,0.001811859
723.498,410.4784,0.001829744
723.6,410.4922,0.001848837
723.702,410.5071,0.00186802
723.798,410.5236,0.001886151
723.9,410.5379,0.001905501
724.002,410.5526,0.001924943
724.098,410.569,0.001943324
724.2,410.5821,0.001962939
724.302,410.5974,0.001982638
724.398,410.6121,0.002001257
724.5,410.6278,0.002021125
724.602,410.6431,0.002041077
724.698,410.6571,0.002059935
724.8,410.6722,0.00208006
724.902,410.6872,0.002100274
724.998,410.7031,0.002119382
725.1,410.7178,0.002139772
725.202,410.7322,0.002160251
725.298,410.7481,0.002179609
725.4,410.7621,0.002200258
725.502,410.7776,0.002220991
725.598,410.7931,0.002240584
725.7,410.8076,0.002261486
725.802,410.8224,0.002282475
725.898,410.8378,0.002302313
726,410.8534,0.002323478
726.102,410.8669,0.002344729
726.198,410.8825,0.00236481
726.3,410.8973,0.002386231
726.402,410.9118,0.002407739
726.498,410.9276,0.002428062
726.6,410.9422,0.002449742
726.702,410.9578,0.002471512
726.798,410.9727,0.002492082
726.9,410.9857,0.002514022
727.002,411.002,0.002536048
727.098,411.0174,0.002556859
727.2,411.032,0.002579058
727.302,411.0464,0.002601344
727.398,411.0625,0.002622395
727.5,411.0771,0.002644848
727.602,411.0926,0.00266739
727.698,411.1073,0.002688692
727.8,411.1223,0.002711413
727.902,411.137,0.002734223
727.998,411.1511,0.002755777
728.1,411.167,0.002778769
728.202,411.1822,0.002801851
728.298,411.1969,0.002823657
728.4,411.2112,0.002846915
728.502,411.2261,0.002870259
728.598,411.2417,0.002892309
728.7,411.257,0.002915826
728.802,411.2721,0.002939435
728.898,411.287,0.002961738
729,411.3021,0.00298552
729.102,411.3168,0.003009392
729.198,411.3331,0.003031942
