time,temperature,conversion
1222.998,404.4106,0
1223.1,404.4194,1.13E-07
1223.202,404.4269,2.54E-07
1223.298,404.4353,4.10E-07
1223.4,404.4439,5.98E-07
1223.502,404.4521,8.04E-07
1223.598,404.4602,1.02E-06
1223.7,404.4692,1.27E-06
1223.802,404.4768,1.53E-06
1223.898,404.4854,1.80E-06
1224,404.4936,2.11E-06
1224.102,404.5017,2.43E-06
1224.198,404.5104,2.75E-06
1224.3,404.5185,3.12E-06
1224.402,404.5263,3.50E-06
1224.498,404.5348,3.89E-06
1224.6,404.5435,4.32E-06
1224.702,404.5528,4.77E-06
1224.798,404.5601,5.22E-06
1224.9,404.5685,5.72E-06
1225.002,404.5768,6.23E-06
1225.098,404.5856,6.73E-06
1225.2,404.5938,7.29E-06
1225.302,404.6012,7.87E-06
1225.398,404.6092,8.44E-06
1225.5,404.6189,9.06E-06
1225.602,404.6271,9.70E-06
1225.698,404.6352,1.03E-05
1225.8,404.644,1.10E-05
1225.902,404.6516,1.17E-05
1225.998,404.6594,1.24E-05
1226.1,404.6684,1.31E-05
1226.202,404.6761,1.39E-05
1226.298,404.6854,1.47E-05
1226.4,404.694,1.55E-05
1226.502,404.7019,1.63E-05
1226.598,404.7106,1.71E-05
1226.7,404.7186,1.80E-05
1226.802,404.7265,1.90E-05
1226.898,404.7353,1.98E-05
1227,404.7435,2.08E-05
1227.102,404.7513,2.18E-05
1227.198,404.76,2.27E-05
1227.3,404.769,2.38E-05
1227.402,404.7766,2.49E-05
1227.498,404.7852,2.59E-05
1227.6,404.7935,2.70E-05
1227.702,404.8014,2.81E-05
1227.798,404.8102,2.92E-05
1227.9,404.8189,3.04E-05
1228.002,404.8267,3.16E-05
1228.098,404.8352,3.28E-05
1228.2,404.8432,3.41E-05
1228.302,404.8517,3.54E-05
1228.398,404.8599,3.66E-05
1228.5,404.8684,3.79E-05
1228.602,404.8768,3.93E-05
1228.698,404.8849,4.06E-05
1228.8,404.894,4.20E-05
1228.902,404.9028,4.34E-05
1228.998,404.9105,4.48E-05
1229.1,404.9188,4.63E-05
1229.202,404.9269,4.78E-05
1229.298,404.9367,4.93E-05
1229.4,404.9438,5.08E-05
1229.502,404.9526,5.24E-05
1229.598,404.9607,5.39E-05
1229.7,404.9695,5.56E-05
1229.802,404.9773,5.72E-05
1229.898,404.9864,5.88E-05
1230,404.994,6.06E-05
1230.102,405.0025,6.23E-05
1230.198,405.0117,6.40E-05
1230.3,405.0188,6.58E-05
1230.402,405.0279,6.76E-05
1230.498,405.0361,6.94E-05
1230.6,405.0439,7.13E-05
1230.702,405.0523,7.32E-05
1230.798,405.061,7.50E-05
1230.9,405.0688,7.69E-05
1231.002,405.0771,7.89E-05
1231.098,405.0864,8.08E-05
1231.2,405.0945,8.29E-05
1231.302,405.1028,8.49E-05
1231.398,405.1108,8.69E-05
1231.5,405.119,8.91E-05
1231.602,405.1288,9.12E-05
1231.698,405.1358,9.33E-05
1231.8,405.1437,9.55E-05
1231.902,405.1533,9.78E-05
1231.998,405.1615,1.00E-04
1232.1,405.169,1.02E-04
1232.202,405.1777,1.05E-04
1232.298,405.1861,1.07E-04
1232.4,405.1941,1.09E-04
1232.502,405.2024,1.12E-04
1232.598,405.2114,1.14E-04
1232.7,405.2193,1.17E-04
1232.802,405.2282,1.19E-04
1232.898,405.2357,1.22E-04
1233,405.2454,1.24E-04
1233.102,405.2532,1.27E-04
1233.198,405.2613,1.29E-04
1233.3,405.2694,1.32E-04
1233.402,405.2777,1.35E-04
1233.498,405.286,1.37E-04
1233.6,405.2946,1.40E-04
1233.702,405.3032,1.43E-04
1233.798,405.3105,1.45E-04
1233.9,405.3191,1.48E-04
1234.002,405.3276,1.51E-04
1234.098,405.3358,1.54E-04
1234.2,405.3445,1.57E-04
1234.302,405.3512,1.60E-04
1234.398,405.3602,1.62E-04
1234.5,405.3695,1.65E-04
1234.602,405.3776,1.69E-04
1234.698,405.3861,1.71E-04
1234.8,405.3948,1.75E-04
1234.902,405.4024,1.78E-04
1234.998,405.4105,1.81E-04
1235.1,405.4193,1.84E-04
1235.202,405.4277,1.87E-04
1235.298,405.4365,1.90E-04
1235.4,405.4448,1.93E-04
1235.502,405.4523,1.97E-04
1235.598,405.4612,2.00E-04
1235.7,405.4688,2.03E-04
1235.802,405.4778,2.07E-04
1235.898,405.4862,2.10E-04
1236,405.4948,2.13E-04
1236.102,405.5027,2.17E-04
1236.198,405.5112,2.20E-04
1236.3,405.5188,2.23E-04
1236.402,405.5283,2.27E-04
1236.498,405.5357,2.30E-04
1236.6,405.5447,2.34E-04
1236.702,405.5531,2.37E-04
1236.798,405.5604,2.41E-04
1236.9,405.5689,2.44E-04
1237.002,405.5776,2.48E-04
1237.098,405.5859,2.51E-04
1237.2,405.5944,2.55E-04
1237.302,405.6025,2.59E-04
1237.398,405.6109,2.62E-04
1237.5,405.6195,2.66E-04
1237.602,405.6275,2.70E-04
1237.698,405.6367,2.73E-04
1237.8,405.6443,2.77E-04
1237.902,405.6527,2.81E-04
1237.998,405.6614,2.85E-04
1238.1,405.6694,2.89E-04
1238.202,405.6777,2.92E-04
1238.298,405.6867,2.96E-04
1238.4,405.695,3.00E-04
1238.502,405.7032,3.04E-04
1238.598,405.7116,3.08E-04
1238.7,405.7198,3.12E-04
1238.802,405.728,3.16E-04
1238.898,405.7373,3.19E-04
1239,405.7451,3.23E-04
1239.102,405.7534,3.27E-04
1239.198,405.7613,3.31E-04
1239.3,405.7693,3.35E-04
1239.402,405.7785,3.39E-04
1239.498,405.787,3.43E-04
1239.6,405.7944,3.47E-04
1239.702,405.8032,3.51E-04
1239.798,405.8119,3.55E-04
1239.9,405.8201,3.60E-04
1240.002,405.8285,3.64E-04
1240.098,405.8359,3.68E-04
1240.2,405.8456,3.72E-04
1240.302,405.8539,3.76E-04
1240.398,405.8613,3.80E-04
1240.5,405.8704,3.84E-04
1240.602,405.8779,3.89E-04
1240.698,405.8879,3.93E-04
1240.8,405.8951,3.97E-04
1240.902,405.9022,4.01E-04
1240.998,405.9115,4.05E-04
1241.1,405.9197,4.09E-04
1241.202,405.9282,4.14E-04
1241.298,405.9364,4.18E-04
1241.4,405.9453,4.22E-04
1241.502,405.9534,4.26E-04
1241.598,405.9618,4.30E-04
1241.7,405.9704,4.35E-04
1241.802,405.9787,4.39E-04
1241.898,405.9861,4.43E-04
1242,405.9942,4.48E-04
1242.102,406.0041,4.52E-04
1242.198,406.0109,4.56E-04
1242.3,406.0202,4.61E-04
1242.402,406.0276,4.65E-04
1242.498,406.037,4.69E-04
1242.6,406.0447,4.74E-04
1242.702,406.0533,4.78E-04
1242.798,406.0624,4.82E-04
1242.9,406.0697,4.87E-04
1243.002,406.0783,4.91E-04
1243.098,406.0867,4.96E-04
1243.2,406.0956,5.00E-04
1243.302,406.1034,5.05E-04
1243.398,406.1122,5.09E-04
1243.5,406.121,5.13E-04
1243.602,406.1289,5.18E-04
1243.698,406.1373,5.22E-04
1243.8,406.146,5.27E-04
1243.902,406.1542,5.31E-04
1243.998,406.1626,5.35E-04
1244.1,406.1702,5.40E-04
1244.202,406.1783,5.45E-04
1244.298,406.1871,5.49E-04
1244.4,406.1954,5.53E-04
1244.502,406.2049,5.58E-04
1244.598,406.2127,5.62E-04
1244.7,406.22,5.67E-04
1244.802,406.2285,5.72E-04
1244.898,406.2374,5.76E-04
1245,406.2456,5.81E-04
1245.102,406.254,5.85E-04
1245.198,406.2621,5.90E-04
1245.3,406.2713,5.94E-04
1245.402,406.2795,5.99E-04
1245.498,406.2884,6.04E-04
1245.6,406.2961,6.08E-04
1245.702,406.3038,6.13E-04
1245.798,406.3129,6.17E-04
1245.9,406.3205,6.22E-04
1246.002,406.3291,6.27E-04
1246.098,406.3373,6.31E-04
1246.2,406.3453,6.36E-04
1246.302,406.3546,6.41E-04
1246.398,406.3616,6.45E-04
1246.5,406.3707,6.50E-04
1246.602,406.3792,6.55E-04
1246.698,406.3869,6.59E-04
1246.8,406.3946,6.64E-04
1246.902,406.4039,6.69E-04
1246.998,406.4131,6.73E-04
1247.1,406.4202,6.78E-04
1247.202,406.429,6.83E-04
1247.298,406.4363,6.87E-04
1247.4,406.4453,6.92E-04
1247.502,406.4529,6.97E-04
1247.598,406.4621,7.01E-04
1247.7,406.4704,7.06E-04
1247.802,406.4784,7.11E-04
1247.898,406.4869,7.16E-04
1248,406.4952,7.20E-04
1248.102,406.5027,7.25E-04
1248.198,406.513,7.30E-04
1248.3,406.5198,7.35E-04
1248.402,406.5289,7.40E-04
1248.498,406.536,7.44E-04
1248.6,406.5453,7.49E-04
1248.702,406.5535,7.54E-04
1248.798,406.5621,7.59E-04
1248.9,406.5706,7.64E-04
1249.002,406.5785,7.68E-04
1249.098,406.5863,7.73E-04
1249.2,406.595,7.78E-04
1249.302,406.6033,7.83E-04
1249.398,406.612,7.88E-04
1249.5,406.6207,7.93E-04
1249.602,406.6285,7.98E-04
1249.698,406.6364,8.03E-04
1249.8,406.6447,8.08E-04
1249.902,406.6528,8.13E-04
1249.998,406.6617,8.17E-04
1250.1,406.6705,8.22E-04
1250.202,406.6785,8.28E-04
1250.298,406.6871,8.32E-04
1250.4,406.6951,8.37E-04
1250.502,406.7039,8.43E-04
1250.598,406.7114,8.47E-04
1250.7,406.7202,8.52E-04
1250.802,406.7281,8.58E-04
1250.898,406.737,8.62E-04
1251,406.746,8.68E-04
1251.102,406.7531,8.73E-04
1251.198,406.7616,8.78E-04
1251.3,406.7708,8.83E-04
1251.402,406.7796,8.88E-04
1251.498,406.787,8.93E-04
1251.6,406.7951,8.98E-04
1251.702,406.8037,9.03E-04
1251.798,406.8122,9.08E-04
1251.9,406.8204,9.13E-04
1252.002,406.8289,9.18E-04
1252.098,406.8367,9.23E-04
1252.2,406.846,9.28E-04
1252.302,406.854,9.33E-04
1252.398,406.8622,9.38E-04
1252.5,406.8696,9.43E-04
1252.602,406.8788,9.49E-04
1252.698,406.887,9.53E-04
1252.8,406.8955,9.59E-04
1252.902,406.9048,9.64E-04
1252.998,406.9128,9.69E-04
1253.1,406.9211,9.74E-04
1253.202,406.9292,9.79E-04
1253.298,406.9365,9.84E-04
1253.4,406.945,9.90E-04
1253.502,406.9535,9.95E-04
1253.598,406.9618,1.00E-03
1253.7,406.9702,0.001005056
1253.802,406.9794,0.001010351
1253.898,406.9882,0.001015344
1254,406.9951,0.001020661
1254.102,407.0042,0.001025987
1254.198,407.0124,0.001031006
1254.3,407.0205,0.001036345
1254.402,407.0286,0.001041689
1254.498,407.0378,0.001046727
1254.6,407.0457,0.00105209
1254.702,407.0537,0.001057455
1254.798,407.0617,0.001062507
1254.9,407.0704,0.001067884
1255.002,407.0793,0.00107327
1255.098,407.0876,0.001078349
1255.2,407.0954,0.001083757
1255.302,407.1041,0.001089178
1255.398,407.1124,0.00109429
1255.5,407.1211,0.00109973
1255.602,407.1296,0.001105182
1255.698,407.1372,0.001110323
1255.8,407.1458,0.001115792
1255.902,407.1532,0.001121269
1255.998,407.1616,0.001126437
1256.1,407.1704,0.00113194
1256.202,407.1796,0.001137456
1256.298,407.1863,0.00114266
1256.4,407.1951,0.001148198
1256.502,407.2035,0.001153746
1256.598,407.2123,0.00115898
