time,temperature,conversion
880.698,405.0036,0
880.8,405.015,9.76E-09
880.902,405.0273,3.23E-08
880.998,405.0384,6.40E-08
881.1,405.0499,1.18E-07
881.202,405.0616,1.98E-07
881.298,405.0726,2.93E-07
881.4,405.0849,4.12E-07
881.502,405.0967,5.49E-07
881.598,405.1085,7.01E-07
881.7,405.1198,8.86E-07
881.802,405.1312,1.09E-06
881.898,405.1432,1.31E-06
882,405.1548,1.56E-06
882.102,405.1671,1.83E-06
882.198,405.1785,2.11E-06
882.3,405.1901,2.45E-06
882.402,405.2017,2.81E-06
882.498,405.2136,3.16E-06
882.6,405.2251,3.57E-06
882.702,405.2369,4.00E-06
882.798,405.2487,4.44E-06
882.9,405.2598,4.93E-06
883.002,405.272,5.45E-06
883.098,405.2835,5.97E-06
883.2,405.2958,6.56E-06
883.302,405.3068,7.17E-06
883.398,405.3188,7.79E-06
883.5,405.3304,8.48E-06
883.602,405.3419,9.20E-06
883.698,405.3534,9.92E-06
883.8,405.3661,1.07E-05
883.902,405.3776,1.15E-05
883.998,405.3887,1.24E-05
884.1,405.3997,1.33E-05
884.202,405.4123,1.42E-05
884.298,405.4232,1.51E-05
884.4,405.4353,1.61E-05
884.502,405.4473,1.71E-05
884.598,405.4584,1.81E-05
884.7,405.4692,1.91E-05
884.802,405.4817,2.02E-05
884.898,405.4939,2.13E-05
885,405.5053,2.25E-05
885.102,405.5171,2.37E-05
885.198,405.5285,2.49E-05
885.3,405.5398,2.61E-05
885.402,405.5514,2.74E-05
885.498,405.5637,2.87E-05
885.6,405.5757,3.01E-05
885.702,405.5871,3.15E-05
885.798,405.5978,3.28E-05
885.9,405.6092,3.43E-05
886.002,405.6233,3.58E-05
886.098,405.6329,3.72E-05
886.2,405.645,3.88E-05
886.302,405.6565,4.04E-05
886.398,405.6686,4.19E-05
886.5,405.6798,4.36E-05
886.602,405.6915,4.53E-05
886.698,405.7031,4.69E-05
886.8,405.7148,4.86E-05
886.902,405.7271,5.04E-05
886.998,405.7384,5.21E-05
887.1,405.7502,5.40E-05
887.202,405.7614,5.59E-05
887.298,405.7732,5.77E-05
887.4,405.7855,5.96E-05
887.502,405.7965,6.16E-05
887.598,405.8086,6.35E-05
887.7,405.8206,6.56E-05
887.802,405.832,6.77E-05
887.898,405.8441,6.97E-05
888,405.8547,7.19E-05
888.102,405.8664,7.41E-05
888.198,405.8785,7.62E-05
888.3,405.8895,7.85E-05
888.402,405.9016,8.08E-05
888.498,405.9137,8.30E-05
888.6,405.9255,8.54E-05
888.702,405.9369,8.78E-05
888.798,405.9479,9.01E-05
888.9,405.9602,9.26E-05
889.002,405.9713,9.51E-05
889.098,405.9832,9.75E-05
889.2,405.9949,1.00E-04
889.302,406.0064,1.03E-04
889.398,406.019,1.05E-04
889.5,406.0299,1.08E-04
889.602,406.042,1.11E-04
889.698,406.0542,1.14E-04
889.8,406.0651,1.16E-04
889.902,406.0774,1.19E-04
889.998,406.0885,1.22E-04
890.1,406.1005,1.25E-04
890.202,406.112,1.28E-04
890.298,406.1232,1.31E-04
890.4,406.1354,1.34E-04
890.502,406.1455,1.37E-04
890.598,406.1586,1.40E-04
890.7,406.1701,1.43E-04
890.802,406.1821,1.47E-04
890.898,406.1931,1.50E-04
891,406.2045,1.53E-04
891.102,406.2163,1.56E-04
891.198,406.2288,1.60E-04
891.3,406.2393,1.63E-04
891.402,406.2514,1.67E-04
891.498,406.2627,1.70E-04
891.6,406.2759,1.73E-04
891.702,406.2865,1.77E-04
891.798,406.2977,1.81E-04
891.9,406.31,1.84E-04
892.002,406.3212,1.88E-04
892.098,406.3327,1.92E-04
892.2,406.345,1.95E-04
892.302,406.3557,1.99E-04
892.398,406.3678,2.03E-04
